,분야,대학,계열,"전형
구분",,학과,#REF!,2027,2026,,,,,,26-25,2025학년,,,,,,2024,,,,,,3개년,2023학년도,,,,,"입결2
구분",2027,2026,25수능최저기준,24수능최저기준,2027,2026,2025,24전형방법,"대학별고사
일정(26기준)",2026,"2025 변경사항
KEY- 코멘트","일반/
지역",구분
번호,,,,,전형명,,,모집인원,모집인원,경쟁률,충원률,입결70%,"평균
50%",비고,차이,모집인원,경쟁률,추합,입결70%,"평균
50%",비고,"모집
인원",경쟁률,추합,입결70%,"평균
50%",비고,입결평균,"모집
인원",경쟁률,추합,"평균
50%컷",70% 컷,,수능최저,수능최저,,,전형방법,전형방법,전형방법,,,"변동, 특이사항",,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,37,39,40
694,,서강대,자연,교과,지역균형,수학과,#REF!,6,5,8.00 ,460.0%,1.63 ,1.56 ,,0.11 ,5,15.00 ,280.0%,1.52 ,1.50 ,,6,9.50 ,23,1.67,1.61,,1.61 ,6,8.33 ,14,1.69 ,1.77 ,70%컷,"3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4",교과100,교과100,등급80+비율10+출결10,등급80+비율10+출결10,없음,교과 100으로 변경,24보다 경쟁률 상승 예상,일반,#6
695,,서강대,자연,교과,지역균형,화학과,#REF!,6,5,9.20 ,640.0%,1.52 ,,,0.07 ,5,14.00 ,340.0%,1.45 ,1.40 ,,6,13.17 ,19,1.48,1.46,,1.48 ,6,9.17 ,7,1.71 ,1.72 ,70%컷,"3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4",교과100,교과100,등급80+비율10+출결10,등급80+비율10+출결10,없음,교과 100으로 변경,24보다 경쟁률 상승 예상,일반,#6
696,,서강대,자연,교과,지역균형,사이언스기반 자유전공,#REF!,5,5,23.20 ,320.0%,1.42 ,1.39 ,,-0.28 ,5,16.00 ,280.0%,1.70 ,1.63 ,,,,,,,,1.56 ,,,,,,,"3개 각3등급(1),한4","3개 각3등급(1),한4",,,교과100,교과100,,,,교과 100으로 변경,,,#6
697,,서강대,자연,교과,지역균형,화공생명공학과,#REF!,11,10,7.60 ,380.0%,1.32 ,1.27 ,,0.01 ,10,14.00 ,330.0%,1.31 ,1.22 ,,11,16.45 ,40,1.43,1.41,,1.35 ,11,9.36 ,15,1.68 ,1.84 ,70%컷,"3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4",교과100,교과100,등급80+비율10+출결10,등급80+비율10+출결10,없음,교과 100으로 변경,24보다 경쟁률 상승 예상,일반,#6
698,계약,서강대,자연,교과,지역균형,시스템반도체공학과,#REF!,3,3,19.33 ,466.7%,1.10 ,,,,3,31.33 ,500.0%,,,,3,10.00 ,4,1.68,1.61,,1.39 ,3,12.67 ,8,,,70%컷,"3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4",교과100,교과100,등급80+비율10+출결10,등급80+비율10+출결10,없음,교과 100으로 변경,24보다 경쟁률 상승 예상,일반,#6
699,sw/AI,서강대,자연,교과,지역균형,AI 기반 자유전공,#REF!,5,5,13.80 ,320.0%,1.39 ,1.39 ,,-0.09 ,5,17.80 ,160.0%,1.48 ,1.48 ,,,,,,,,1.44 ,,,,,,,"3개 각3등급(1),한4","3개 각3등급(1),한4",,,교과100,교과100,,,없음,교과 100으로 변경,,,#6
700,sw/AI,서강대,자연,교과,지역균형,인공지능학과,#REF!,3,3,10.00 ,333.3%,,,,,3,15.00 ,233.3%,1.43 ,1.44 ,,3,8.67 ,4,1.83,1.67,,1.43 ,3,10.67 ,2,,,70%컷,"3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4",교과100,교과100,등급80+비율10+출결10,등급80+비율10+출결10,없음,교과 100으로 변경,24보다 경쟁률 상승 예상,일반,#6
701,,서강대,자연,교과,지역균형,전자공학과,#REF!,11,10,10.00 ,520.0%,1.37 ,1.34 ,,-0.09 ,10,12.70 ,350.0%,1.46 ,1.46 ,,11,9.64 ,27,1.39,1.36,,1.41 ,11,9.55 ,25,1.53 ,1.54 ,70%컷,"3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4",교과100,교과100,등급80+비율10+출결10,등급80+비율10+출결10,없음,교과 100으로 변경,24보다 경쟁률 상승 예상,일반,#6
702,sw/AI,서강대,자연,교과,지역균형,컴퓨터공학과,#REF!,11,10,8.20 ,460.0%,1.96 ,1.79 ,,0.52 ,10,12.30 ,580.0%,1.44 ,1.43 ,,11,9.73 ,39,1.43,1.4,,1.61 ,11,10.55 ,26,1.50 ,1.53 ,70%컷,"3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4","3개 각3등급(1),한4",교과100,교과100,등급80+비율10+출결10,등급80+비율10+출결10,없음,교과 100으로 변경,24보다 경쟁률 상승 예상,일반,#6
703,,서강대,자연,교과,지역균형,반도체공학과,,3,3,9.33 ,133.3%,1.61 ,,,,,,,,,,,,,,,,1.61 ,,,,,,,"국,수,영,탐(1) 3개3, 한4","국,수,영,탐(1) 3개3, 한4",,,"1단계:서류100(7배수)
2단계:1단계70+면접30","1단계:서류100(7배수)
2단계:1단계70+면접30",,,,,,,
704,,서강대,인문,종합,학생부종합Ⅰ,게페르트국제학부,#REF!,4,5,17.60 ,,,,,,5,18.80 ,,3.51 ,3.38 ,,5,17.00 ,3,3.64,3.34,,3.36 ,,,,,,70%컷,미적용,미적용,,,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
705,경영,서강대,인문,종합,학생부종합Ⅰ,경영학부,#REF!,72,80,11.58 ,,,,,,84,12.76 ,163.1%,3.68 ,3.20 ,,85,11.05 ,105,3.47,2.94,,2.77 ,93,11.24 ,172,2.17 ,3.01 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
706,경제,서강대,인문,종합,학생부종합Ⅰ,경제학과,#REF!,43,50,8.56 ,,,,,,50,9.54 ,110.0%,3.57 ,3.42 ,,50,9.30 ,78,3.21,2.42,,2.70 ,57,8.93 ,89,2.27 ,2.95 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
707,,서강대,인문,종합,학생부종합Ⅰ,국어국문학과,#REF!,10,10,11.50 ,,,,,,10,14.30 ,120.0%,3.64 ,3.36 ,,10,14.10 ,18,3.2,2.63,,2.61 ,10,17.20 ,8,1.83 ,3.19 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
708,,서강대,인문,종합,학생부종합Ⅰ,글로벌한국학부,#REF!,8,8,11.88 ,,,,,,6,11.67 ,16.7%,3.60 ,3.52 ,,9,10.56 ,5,3.43,3.02,,2.75 ,12,11.67 ,7,1.71 ,1.83 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
709,,서강대,인문,종합,학생부종합Ⅰ,미디어&엔터테인먼트,#REF!,11,14,10.14 ,,,,,,14,8.86 ,200.0%,2.51 ,1.86 ,,14,9.64 ,13,1.92,1.63,,1.70 ,12,11.58 ,6,1.62 ,1.75 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
710,,서강대,인문,종합,학생부종합Ⅰ,사학과,#REF!,10,10,14.40 ,,,,,,10,17.50 ,90.0%,3.50 ,3.20 ,,10,21.20 ,24,3.49,2.89,,3.15 ,10,17.10 ,26,3.35 ,3.68 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
711,,서강대,인문,종합,학생부종합Ⅰ,사회학과,#REF!,10,11,13.82 ,,,,,,11,13.45 ,154.5%,2.99 ,2.91 ,,11,16.18 ,28,1.98,1.67,,2.14 ,11,16.55 ,31,1.83 ,1.96 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
712,,서강대,인문,종합,학생부종합Ⅰ,신문방송학과,#REF!,11,18,10.22 ,,,,,,18,8.44 ,55.6%,3.50 ,3.26 ,,18,8.94 ,16,1.99,1.68,,2.18 ,12,10.50 ,20,1.61 ,1.65 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
713,,서강대,인문,종합,학생부종합Ⅰ,심리학과,#REF!,10,11,13.18 ,,,,,,11,10.45 ,163.6%,3.49 ,2.16 ,,11,15.55 ,18,1.74,1.6,,1.85 ,11,13.18 ,21,1.78 ,2.71 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
714,,서강대,인문,종합,학생부종합Ⅰ,아트&테크놀로지,#REF!,11,14,13.71 ,,,,,,14,17.29 ,78.6%,3.15 ,3.00 ,,14,23.29 ,16,2.98,2.71,,2.81 ,12,22.83 ,15,2.73 ,3.06 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
715,,서강대,인문,종합,학생부종합Ⅰ,영문학부,#REF!,27,27,9.74 ,,,,,,28,10.04 ,142.9%,3.48 ,3.40 ,,29,9.90 ,41,2.59,2.38,,2.63 ,30,11.07 ,49,2.11 ,2.59 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
716,,서강대,인문,종합,학생부종합Ⅰ,유럽문화학과,#REF!,18,18,12.50 ,,,,,,20,11.40 ,220.0%,3.53 ,3.28 ,,20,14.70 ,45,3.33,2.86,,3.09 ,21,16.90 ,26,3.12 ,3.30 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
717,,서강대,인문,종합,학생부종합Ⅰ,정치외교학과,#REF!,10,11,11.45 ,,,,,,11,11.82 ,181.8%,2.08 ,1.95 ,,11,12.00 ,24,1.8,1.6,,1.77 ,11,21.09 ,25,1.77 ,1.84 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
718,,서강대,인문,종합,학생부종합Ⅰ,종교학과,#REF!,8,8,13.13 ,,,,,,8,15.00 ,100.0%,3.88 ,3.47 ,,8,19.88 ,9,3.5,3.19,,3.39 ,8,14.75 ,9,3.52 ,3.80 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
719,,서강대,인문,종합,학생부종합Ⅰ,중국문화학과,#REF!,12,13,9.46 ,,,,,,14,9.79 ,71.4%,3.21 ,3.60 ,,13,9.77 ,19,3.39,3.05,,3.02 ,15,11.87 ,15,2.40 ,2.88 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
720,,서강대,인문,종합,학생부종합Ⅰ,철학과,#REF!,10,10,19.60 ,,,,,,10,23.50 ,170.0%,3.77 ,3.57 ,,10,24.30 ,16,3.73,3.58,,3.50 ,10,26.80 ,13,3.36 ,3.67 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
721,sw/AI,서강대,자연,종합,학생부종합Ⅰ,AI 기반 자유전공,#REF!,,10,16.80 ,,,,,,10,20.90 ,30.0%,3.37 ,3.26 ,,,,,,,,3.26 ,,,,,,,미적용,미적용,,,서류100,서류100,서류100,신설,없음,,,,#6
722,,서강대,자연,종합,학생부종합Ⅰ,사이언스기반 자유전공,,,5,22.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서류100,서류100,,,,,,,
723,,서강대,인문,종합,학생부종합Ⅰ,인문학기반 자유전공,#REF!,,10,16.40 ,,,,,,10,17.20 ,100.0%,3.50 ,3.30 ,,,,,,,,3.30 ,,,,,,,미적용,미적용,,,서류100,서류100,서류100,신설,없음,,,,#6
724,,서강대,자연,종합,학생부종합Ⅰ,기계공학과,#REF!,25,25,13.20 ,,,,,,27,13.41 ,181.5%,3.28 ,2.65 ,,27,12.67 ,47,1.88,1.76,,2.13 ,28,15.39 ,67,1.99 ,2.13 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
725,,서강대,자연,종합,학생부종합Ⅰ,물리학과,#REF!,14,15,16.40 ,,,,,,14,18.36 ,192.9%,3.71 ,3.50 ,,15,13.67 ,32,4.43,2.11,,2.54 ,16,9.88 ,30,2.02 ,2.22 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
726,,서강대,자연,종합,학생부종합Ⅰ,생명과학과,#REF!,18,20,24.55 ,,,,,,21,29.00 ,190.5%,3.66 ,3.18 ,,20,21.70 ,40,2.87,2.31,,2.37 ,23,23.48 ,52,1.63 ,1.74 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
727,,서강대,자연,종합,학생부종합Ⅰ,수학과,#REF!,14,16,14.31 ,,,,,,16,13.44 ,212.5%,4.00 ,3.00 ,,17,11.47 ,23,2.15,1.84,,2.20 ,18,11.61 ,39,1.77 ,1.83 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
728,계약,서강대,자연,종합,학생부종합Ⅰ,시스템반도체공학과,#REF!,14,14,27.14 ,,,,,,14,24.71 ,178.6%,4.45 ,4.29 ,,14,17.29 ,32,4.24,2.74,,2.88 ,14,17.50 ,47,1.60 ,2.86 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
729,sw/AI,서강대,자연,종합,학생부종합Ⅰ,인공지능학과,#REF!,12,12,15.50 ,,,,,,12,17.67 ,225.0%,2.84 ,2.10 ,,12,14.00 ,25,2.07,1.9,,1.94 ,12,17.58 ,26,1.83 ,1.96 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
730,,서강대,자연,종합,학생부종합Ⅰ,전자공학과,#REF!,29,24,12.75 ,,,,,,30,12.70 ,173.3%,3.23 ,2.04 ,,34,12.32 ,57,1.81,1.69,,1.81 ,35,14.06 ,71,1.70 ,1.78 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
731,sw/AI,서강대,자연,종합,학생부종합Ⅰ,컴퓨터공학과,#REF!,29,31,11.52 ,,,,,,29,12.45 ,151.7%,3.35 ,1.75 ,,34,11.71 ,56,1.8,1.72,,1.72 ,36,15.28 ,70,1.70 ,1.74 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
732,,서강대,자연,종합,학생부종합Ⅰ,화공생명공학과,#REF!,29,31,19.23 ,,,,,,30,22.33 ,140.0%,3.77 ,3.14 ,,36,22.00 ,67,2.16,1.79,,2.23 ,34,20.82 ,73,1.77 ,2.79 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
733,,서강대,자연,종합,학생부종합Ⅰ,화학과,#REF!,18,20,20.65 ,,,,,,21,24.52 ,190.5%,4.06 ,3.36 ,,21,24.05 ,45,4.09,3.28,,2.91 ,23,18.26 ,32,2.09 ,4.85 ,70%컷,미적용,미적용,미적용,미적용,서류100,서류100,서류100,서류100,없음,,2024 수준 예상,일반,#6
734,,서강대,자연,종합,학생부종합Ⅰ,반도체공학과,,14,14,14.57 ,,,,,,,,,,,,,,,,,,,,,,,,,미적용,,,,서류100,서류100,,,,,,,
735,,서강대,인문,종합,학생부종합 Ⅱ,인문학부,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서류100,신설,,,,,,,
736,,서강대,인문,종합,학생부종합 Ⅱ,사회과학부,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서류100,신설,,,,,,,
737,,서강대,자연,종합,학생부종합 Ⅱ,지식융합미디어학부,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서류100,신설,,,,,,,
738,,서강대,자연,종합,학생부종합 Ⅱ,인문학기반 자유전공,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서류100,신설,,,,,,,
739,,서강대,자연,종합,학생부종합 Ⅱ,사이언스기반 자유전공,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서류100,신설,,,,,,,
740,,서강대,자연,종합,학생부종합 Ⅱ,AI 기반 자유전공,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서류100,신설,,,,,,,
741,,서강대,인문,논술,논술,경영학부,#REF!,38,37,104.51 ,,,,,,38,72.34 ,0 ,,,,38,100.53 ,,,,,,36,80.56 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.16(일),논술100으로 변경,,일반,#6
742,경제,서강대,인문,논술,논술,경제학과,#REF!,21,21,101.05 ,,,,,,21,67.29 ,0 ,,,,21,94.90 ,,,,,,21,72.52 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.16(일),논술100으로 변경,,일반,#6
743,,서강대,인문,논술,논술,사회과학부,#REF!,13,14,109.43 ,,,,,,14,100.50 ,0 ,,,,14,99.50 ,,,,,,14,91.29 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.16(일),논술100으로 변경,,일반,#6
744,,서강대,인문,논술,논술,영문학부,#REF!,10,10,101.40 ,,,,,,10,85.10 ,0 ,,,,10,92.40 ,,,,,,10,78.70 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.16(일),논술100으로 변경,,일반,#6
745,,서강대,인문,논술,논술,인문학부,#REF!,15,16,110.63 ,,,,,,16,94.44 ,0 ,,,,16,93.75 ,,,,,,16,81.69 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.16(일),논술100으로 변경,,일반,#6
746,,서강대,인문,논술,논술,지식융합미디어학부,#REF!,10,10,109.60 ,,,,,,10,100.80 ,0 ,,,,12,103.25 ,,,,,,14,88.00 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.16(일),논술100으로 변경,,일반,#6
747,,서강대,자연,논술,논술,기계공학과,#REF!,10,10,98.30 ,,,,,,10,97.00 ,0 ,,,,10,142.10 ,,,,,,10,89.30 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.15(토),논술100으로 변경,,일반,#6
748,,서강대,자연,논술,논술,물리학과,#REF!,6,6,83.83 ,,,,,,6,97.67 ,0 ,,,,6,97.67 ,,,,,,6,70.00 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.15(토),논술100으로 변경,,일반,#6
749,,서강대,자연,논술,논술,수학과,#REF!,6,6,78.50 ,,,,,,6,71.33 ,0 ,,,,6,111.67 ,,,,,,6,91.83 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.15(토),논술100으로 변경,,일반,#6
750,,서강대,자연,논술,논술,시스템반도체공학과,#REF!,3,3,177.00 ,,,,,,3,107.00 ,0 ,,,,3,198.00 ,,,,,,3,155.67 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.15(토),논술100으로 변경,,일반,#6
751,sw/AI,서강대,자연,논술,논술,인공지능학과,#REF!,3,3,129.00 ,,,,,,3,119.33 ,0 ,,,,3,131.33 ,,,,,,3,122.67 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.15(토),논술100으로 변경,,일반,#6
752,,서강대,자연,논술,논술,전자공학과,#REF!,12,12,129.67 ,,,,,,12,117.50 ,1 ,,,,12,137.00 ,,,,,,12,129.33 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.15(토),논술100으로 변경,,일반,#6
753,sw/AI,서강대,자연,논술,논술,컴퓨터공학과,#REF!,12,12,91.42 ,,,,,,12,95.33 ,0 ,,,,12,144.92 ,,,,,,12,147.50 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.15(토),논술100으로 변경,,일반,#6
754,,서강대,자연,논술,논술,화공생명공학과,#REF!,12,12,124.25 ,,,,,,12,127.67 ,0 ,,,,12,148.83 ,,,,,,12,125.25 ,,,,,"3합7(1),한4","3합7(1),한4","3합7(1),한4","3합7(1),한4",논술100,논술100,논술80+교과10+출결10,논술80+교과10+출결10,11.15(토),논술100으로 변경,,일반,#6
755,경영,한양대(서울),인문,교과,교과추천형,경영학부,#REF!,26,26,7.42 ,253.9%,,1.56 ,68.9,0.02 ,26,14.88 ,77 ,1.57 ,1.54 ,평균,32,5.09 ,119,1.55,1.55,2.09,1.46 ,32,11.28 ,142,1.29 ,1.33 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
756,경제,한양대(서울),인문,교과,교과추천형,경제금융학부,#REF!,9,9,8.56 ,200.0%,,1.54 ,74,-0.09 ,9,13.33 ,27 ,1.67 ,1.63 ,평균,12,7.75 ,50,1.4,1.35,1.47,1.46 ,12,9.00 ,60,1.41 ,1.44 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
757,,한양대(서울),인문,교과,교과추천형,관광학부,#REF!,5,5,11.20 ,120.0%,,1.62 ,60.7,-0.22 ,5,14.00 ,6 ,1.80 ,1.84 ,평균,5,7.00 ,12,1.44,1.44,1.48,1.59 ,5,11.60 ,12,1.48 ,1.53 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
758,,한양대(서울),인문,교과,교과추천형,교육공학과,#REF!,3,3,13.67 ,133.3%,,1.66 ,68.3,-0.33 ,3,12.00 ,7 ,1.80 ,1.99 ,평균,3,9.00 ,18,1.43,1.41,1.54,1.62 ,3,4.33 ,9,1.45 ,1.28 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
759,,한양대(서울),인문,교과,교과추천형,교육학과,#REF!,3,3,10.33 ,366.7%,,1.67 ,80.6,-0.14 ,3,20.67 ,8 ,1.79 ,1.81 ,평균,3,9.67 ,17,1.27,1.31,1.36,1.44 ,3,18.67 ,36,1.20 ,1.18 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
760,,한양대(서울),인문,교과,교과추천형,국어교육과,#REF!,4,3,16.67 ,500.0%,,1.67 ,78,-0.19 ,3,11.33 ,11 ,1.83 ,1.86 ,평균,3,6.67 ,14,1.34,1.46,1.58,1.61 ,3,5.00 ,12,1.50 ,1.50 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
761,,한양대(서울),인문,교과,교과추천형,국어국문학과,#REF!,4,4,8.00 ,125.0%,,1.87 ,53.1,0.24 ,4,17.75 ,12 ,1.53 ,1.63 ,평균,4,9.75 ,27,1.48,1.47,1.61,1.54 ,4,8.75 ,18,1.53 ,1.53 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
762,,한양대(서울),인문,교과,교과추천형,독어독문학과,#REF!,4,4,14.50 ,75.0%,,1.74 ,67.2,-0.27 ,4,21.75 ,3 ,2.00 ,2.01 ,평균,4,5.75 ,11,1.47,1.49,1.59,1.67 ,4,7.50 ,13,1.52 ,1.48 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
763,,한양대(서울),인문,교과,교과추천형,미디어커뮤니케이션학과,#REF!,5,5,7.00 ,240.0%,,1.52 ,68.6,-0.06 ,5,12.00 ,18 ,1.58 ,1.58 ,평균,6,13.00 ,23,1.4,1.36,1.44,1.54 ,6,6.83 ,29,1.68 ,1.79 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
764,,한양대(서울),인문,교과,교과추천형,사학과,#REF!,3,3,20.00 ,133.3%,,1.68 ,63.3,-0.48 ,3,10.00 ,12 ,2.15 ,2.16 ,평균,3,6.33 ,4,1.81,1.62,1.85,1.70 ,3,5.33 ,5,1.31 ,1.30 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
765,,한양대(서울),인문,교과,교과추천형,사회학과,#REF!,4,4,8.00 ,250.0%,,1.76 ,59.4,0.11 ,4,14.25 ,9 ,1.64 ,1.65 ,평균,4,7.75 ,27,1.47,1.47,1.47,1.52 ,4,10.50 ,21,1.43 ,1.42 ,70%컷,3합7(1),3합7(1),3합7(1),미적용,교과 90+ 정성평가10 재수생3-2반영,교과 90+ 정성평가 10,교과 90+ 정성평가 10,학생부교과100,없음,,일부학과 1.8등급정도 가능,일반,#6
