,분야,대학,계열,"전형
구분",,학과,#REF!,2027,2026,,,,,,26-25,2025학년,,,,,,2024,,,,,,3개년,2023학년도,,,,,"입결2
구분",2027,2026,25수능최저기준,24수능최저기준,2027,2026,2025,24전형방법,"대학별고사
일정(26기준)",2026,"2025 변경사항
KEY- 코멘트","일반/
지역",구분
번호,,,,,전형명,,,모집인원,모집인원,경쟁률,충원률,입결70%,"평균
50%",비고,차이,모집인원,경쟁률,추합,입결70%,"평균
50%",비고,"모집
인원",경쟁률,추합,입결70%,"평균
50%",비고,입결평균,"모집
인원",경쟁률,추합,"평균
50%컷",70% 컷,,수능최저,수능최저,,,전형방법,전형방법,전형방법,,,"변동, 특이사항",,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,37,39,40
11,,서울대,인문,종합,지역균형선발,심리학과,#REF!,6,6,2.50 ,,,,,,6,2.83 ,1 ,1.26 ,1.09 ,,6,2.50 ,0,1.3,1.27,,1.15 ,7,3.86 ,0,1.09 ,1.31 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
12,,서울대,인문,종합,지역균형선발,아동가족학전공,#REF!,5,5,2.80 ,,,,,,5,2.40 ,1 ,1.44 ,1.44 ,,5,2.60 ,2,1.15,1.15,,1.23 ,6,4.33 ,2,1.10 ,1.25 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
13,,서울대,인문,종합,지역균형선발,역사교육과,#REF!,5,5,2.00 ,,,,,,5,1.00 ,0 ,-,-,,5,3.00 ,0,1.31,1.13,,1.12 ,6,3.83 ,0,1.10 ,1.31 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
14,,서울대,인문,종합,지역균형선발,역사학부,#REF!,9,9,1.89 ,,,,,,9,2.44 ,1 ,1.43 ,1.36 ,,9,2.33 ,1,1.46,1.35,,1.37 ,9,3.11 ,0,1.41 ,1.49 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
15,,서울대,인문,종합,지역균형선발,영어교육과,#REF!,4,4,3.00 ,,,,,,4,2.50 ,0 ,1.13 ,1.13 ,,4,3.25 ,1,1.02,1.02,,1.10 ,5,4.20 ,3,1.14 ,1.22 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
16,,서울대,인문,종합,지역균형선발,윤리교육과,#REF!,3,3,3.33 ,,,,,,3,2.33 ,1 ,-,,,3,6.33 ,1,,,,,3,6.00 ,,,,,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
17,,서울대,인문,종합,지역균형선발,인문계열(광역),#REF!,27,27,4.44 ,,,,,,28,3.75 ,3 ,1.40 ,1.33 ,,27,4.81 ,3,1.31,1.2,,1.28 ,27,3.56 ,1,1.32 ,1.42 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
18,,서울대,인문,종합,지역균형선발,자유전공학부,#REF!,20,20,6.35 ,,,,,,20,5.85 ,1 ,1.26 ,1.20 ,,20,4.15 ,7,1.28,1.24,,1.18 ,24,4.83 ,5,1.11 ,1.17 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
19,,서울대,인문,종합,지역균형선발,정치외교학부,#REF!,17,17,3.71 ,,,,,,17,2.59 ,0 ,1.21 ,1.11 ,,17,3.35 ,2,1.13,1.12,,1.15 ,18,4.00 ,2,1.23 ,1.31 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
20,,서울대,인문,종합,지역균형선발,지리교육과,#REF!,5,5,2.60 ,,,,,,5,1.40 ,0 ,1.37 ,1.37 ,,5,3.80 ,1,1.3,1.2,,1.30 ,6,3.83 ,0,1.33 ,1.33 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
21,,서울대,인문,종합,지역균형선발,지리학과,#REF!,6,6,2.67 ,,,,,,6,2.33 ,0 ,1.39 ,1.39 ,,6,2.17 ,1,1.42,1.26,,1.28 ,7,3.43 ,0,1.20 ,1.24 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
22,경영,서울대,인문,종합,일반전형,경영대학,#REF!,47,47,5.62 ,,,,,,47,6.17 ,1 ,1.85 ,1.73 ,,47,6.96 ,0,1.95,1.68,,1.73 ,47,5.91 ,0,1.77 ,2.03 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
23,경제,서울대,인문,종합,일반전형,경제학부,#REF!,60,60,4.93 ,,,,,,60,5.57 ,0 ,2.03 ,1.84 ,,60,5.60 ,1,2.32,1.97,,1.89 ,64,4.64 ,0,1.87 ,2.25 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
24,,서울대,인문,종합,일반전형,고고미술사학과,#REF!,9,9,11.44 ,,,,,,9,11.33 ,0 ,2.64 ,2.14 ,,9,11.11 ,0,2.94,2.51,,2.33 ,9,7.00 ,0,2.35 ,2.96 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
25,,서울대,인문,종합,일반전형,교육학과,#REF!,11,11,10.09 ,,,,,,11,9.73 ,1 ,1.74 ,1.66 ,,11,12.73 ,2,1.49,1.38,,1.48 ,12,9.83 ,1,1.41 ,1.42 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
